Rank,City,Country,Country_Encoded,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,x1,x54,Air_Pollution_2023,Education,Taxation,Internet Access
91,Dublin,Ireland,27,-0.33964483739129125,0.029935504517639152,-0.8981596455772549,-2.0183348926072635,0.7901673818474805,-0.23929421808071885,0.6941027964520583,-0.28345624633942573,0.4531562387338913,1.1547720688213223,0.43919722531374994,-0.6142355604679075,0.6969012252527708,0.543089760316446,1.6607152897815576
82,Manchester,UnitedKingdom,64,-0.16580231025563286,0.09678898855206969,-1.0509708865756535,0.8275001328265846,0.5932727363776642,-0.6167659770034587,0.4915436146080723,0.35825076335868417,0.513389677644023,1.0407302607102353,0.20740374478413223,-0.46004297144339207,0.7153840318247415,0.3975243770053024,0.32617131047734005
20,Seattle,UnitedStates,65,1.188720713676369,1.734699347395614,-0.9537273695766725,0.47177075464735296,1.457421458161859,-0.9942377359261985,1.0485813646790332,-0.7861267372696118,0.8025101844126551,1.3727931725631064,2.2971840196749107,-0.4527004672041293,0.7407725023906351,-0.1752911496683351,-0.13468030680759174
50,Edmonton,Canada,9,0.5585415528096087,0.5898334333059938,-0.4397259225820585,1.1832295110058144,0.4182552737378271,-1.2172892298350901,-0.8883908117040814,-0.95190104810829,-2.787402774631195,1.1396783001007373,0.6037671280235858,-0.504097996878968,0.8356238284248138,1.0369463602688982,-0.3090494648072136
12,Amsterdam,Netherlands,38,1.3082374510821333,0.3474895536811836,0.7827640054051314,1.305894813826239,0.8120445646774604,0.06954631194697747,-1.3821288174487973,-1.1764985015026284,0.5495297409901017,1.2419805103180357,0.7180148771577914,-0.4013029375292909,0.9298658311654106,-0.08664401107951898,-0.3549499693335886
18,Melbourne,Australia,1,1.243046503406262,1.1998714751201713,-0.2452388885840966,0.6557687088779897,0.7081279462350569,-0.565292555332176,0.8460221828350472,-1.021419307492252,0.9591171255789972,0.6046880532266674,0.987185489981084,-0.7831131579709482,0.9463175600921099,-0.26418049355384265,0.3694338549734645
41,Stockholm,Sweden,58,0.714275483368635,0.573120062297386,-0.41888802608227704,-0.12928922917272764,0.5385797793027152,0.08670411917073831,-0.12879387978913434,-1.5026995647658343,-0.5226254716102425,0.09485408755357272,0.3509747301374085,-0.6362630731856953,1.127895901579381,-1.1550115747824423,1.2755731253648432
97,Seoul,SouthKorea,56,-0.4338095395897724,0.30570612615966464,1.1092243839017109,1.8824217370822343,0.6042113277926542,2.5574283593923077,0.921981876026542,0.5935433335813248,-0.6009289421934135,-0.7805844982403599,0.16900958765767882,0.2081249143295083,1.2083265763321318,0.7138444944834292,1.2879715375070246
118,Paris,France,19,-0.9408502437354415,-0.06198803602970254,-1.217674058573907,1.1832295110058144,1.0253470972697611,1.1333303598201532,0.7827224385088016,0.957177305743587,0.6037398360092205,0.6315214198410408,0.20956712708738354,-0.20305532306919968,1.2974908849595503,-1.2041792500106654,2.384835318085585
5,Zurich,Switzerland,59,1.8152781552278023,2.2695272196710565,1.2064679009006922,0.3245723912628432,2.4911183468783964,0.3440712275271518,0.37760407482083036,-1.1871936183309304,0.18812910752931145,2.4494820079648396,2.460672231233121,-0.37927542481150295,1.3797495295930455,0.627134998268139,1.0930262912714417
117,New York,UnitedStates,65,-0.9191199278434845,0.007651009839495772,-0.7384024390789287,-0.607683910172382,2.4692411640484164,0.3612290347509126,1.0739012624095319,0.62562868406623,0.07970891749107456,2.2113358792622755,2.164347643250268,-0.40864544176855355,1.7071592460108098,-0.5877667699326923,1.0038632422489417
71,Singapore,Singapore,52,0.16377414743905183,0.3168483734987361,1.1925759699008376,0.5208368757755234,1.1948952642021038,1.3392240465052838,0.7067627453173077,-0.7540413867847062,-1.2574734263138496,-0.15000038280258482,1.2417944235512415,-0.15900029763362372,1.769310221956117,2.3373465982015653,1.7153210624077622
106,Los Angeles,UnitedStates,65,-0.6547344178246709,0.6455446700013525,-0.8912136800773276,-0.779415334120977,1.42460568391689,-0.6167659770034587,2.7829943592181627,1.1282991749964164,1.0313972522711554,1.3727931725631064,1.7965197428912008,-0.36459041633297773,1.9228596919386416,-0.17747099733855196,0.15866084855637239
101,London,UnitedKingdom,64,-0.5497045576802106,0.4338419705589894,-1.0023491280761632,0.2877728004167162,1.3042811783520019,0.5842805286598044,1.276460444253518,0.6095860088237773,0.5977164921182069,1.0407302607102353,0.8941365359162385,-0.4380154587256041,2.0863614423829966,0.3975243770053024,0.34279045866792446
114,Hong Kong,HongKong(China),23,-0.8503072608522864,0.2667082604729134,1.2898194868998192,-0.2028884108649816,0.872206817459904,3.278056262790266,0.8586821317002965,1.0908662660973598,0.3146193292405877,-0.6933760567436464,0.3795513643116068,-0.07823275100173471,2.3642128642561366,1.5727044765488483,0.5443306049791363
119,Chennai,India,26,-0.9480936823660935,0.05221999919578253,0.011761834913210643,0.21417361872446225,-1.8077480792125993,-0.3079254469757625,1.4663596772322547,1.4919331471586785,-1.5164772136274156,-1.612418863285936,-1.0806258727704268,0.7221002110778931,-1.3727668952788767,-0.8328785301837373,0.8598306245972123
74,Cape Town,SouthAfrica,55,0.047879129348613596,0.15250022524742834,-2.3359745040621887,0.14057443703220654,-1.0748624544082817,-0.9427643142549157,0.9346418248917914,-0.42249276510734923,1.1940275373285112,-0.5088966612698292,-0.6445044609524699,-0.643605577424958,-1.2171863476510807,0.008300465223257595,0.21986152125820624
109,Curitiba,Brazil,7,-0.7344122427618481,-1.6469727200126563,-1.5163505750707773,-0.1047561686086424,-1.3811430140279963,1.0990147453726313,-0.3060331639026218,-0.8235596461686682,1.278354351802695,-1.1998558515899445,-1.1201193573172825,-0.1443152891550985,-1.1676280531064562,-1.1051172836641467,-1.0835545296890439
104,Montevideo,Uruguay,66,-0.6076520667254308,-1.0146501835203356,-1.099592645075144,0.10377484618607954,-0.041165565691744774,-0.2736098325282405,0.6308030521258128,0.03204970009547862,1.1819808495464847,0.3665419245241034,-0.904022155998755,-0.3058503824188765,-0.8940418942883865,-0.1479219511422798,-1.5918894275185018
73,Cluj-Napoca,Romania,48,0.08771804181720168,-0.6636693923395758,1.2481436939002553,-0.2396880017111086,-0.8560906261084855,0.2239665769608253,-0.6858316298600958,-0.16580996122810543,-0.245551652623637,-0.7403344483187998,-0.8955449894735145,0.802867757709782,-0.5861305232652287,0.8259855468512495,1.8305999157297517
84,Riga,Latvia,33,-0.20201950340889493,-0.875372091781939,0.09511342091233745,-0.8775475763773162,-0.21618302833158187,-0.359398868647045,-0.5085923457466078,-0.4706207908347078,-0.22145827705958399,-0.23888590971269663,-0.7796747036118704,-1.1355533614555549,0.0812815909709822,0.3851719068740738,0.3404162946406985
44,San Antonio,UnitedStates,65,0.6744365709000469,0.9408142244867532,-0.5300234740811122,0.03017566449382556,0.5276411878877252,-0.9599221214786766,-0.43263265255511346,-0.14441972757150184,0.1339190125101926,1.2050846312232726,1.6777346313527495,-0.4820704841611799,0.10606073824329434,-0.1752911496683351,1.5187930401540286
108,Rome,Italy,29,-0.7307905234465211,-0.5856736609660738,-0.6342129565800204,-0.5218181981980854,-0.024757678569260214,0.6700695647786089,0.3522841770903318,0.42776902274264633,0.9229770622329184,0.7187298613377546,-0.49121001274708026,-0.2177403315477249,0.10809181588856652,-1.3066320905108555,-0.37183291352719844
94,Wroclaw,Poland,45,-0.3686185919139003,-0.3015463538197446,0.9703050739031664,-1.2578100151206322,-0.6756038677611538,0.05238850472321633,-0.14145382865438363,0.8181407869756631,0.0014054469079035068,-0.676605202609663,-0.804929840499827,0.23015242704729627,0.10991978576931093,-0.017857706819343733,0.2984727301597
19,Valencia,Spain,57,1.221316187514304,-0.4408244455581412,0.6924664539060778,1.5512254194670878,-0.4185469695088931,-0.5996081697796977,-1.5593681015622847,-1.1604558262601758,0.9290004061239313,0.10827077086075944,-0.49932269638427307,-0.3352203993759271,0.15236930855548497,-0.6006036506573019,2.0809423226006163
36,Madrid,Spain,57,0.7903315889904862,-0.1984805659333314,0.9008454189038942,1.4285601166466635,-0.09038922705919883,-0.050558338619349004,-1.078290044682818,-0.518748816562066,0.42906286316983827,0.10827077086075944,-0.21289205518503992,-0.44535796296486674,0.1627278045463696,-0.6006036506573019,0.5514530970608151
4,Rotterdam,Netherlands,38,2.0362030334627006,1.0968056872337573,0.8174938329047675,1.6616241920054706,0.35262372524788815,-0.9256065070311548,-1.5467081526970359,-1.208583851987534,0.5736231165541548,0.7187298613377546,0.43355949806152677,-0.3572479120937151,0.16882103748218394,-0.08664401107951898,0.3464836027102768
40,Hamburg,Germany,21,0.7577361151525501,0.4728398362457406,-0.1618873025849698,0.8888327842367968,0.6862507634050777,0.10386192639449915,-0.2680533173068748,-0.9358583728658373,0.2664325781124825,0.3698960953509,0.43685748032273347,-0.34990540785445245,0.16882103748218394,-0.596001750020178,0.19242673694359025
1,The Hague,Netherlands,38,2.3838880877340176,1.0912345635642218,1.3870630038987994,1.6002915405952585,0.29246147246544446,-0.8569752781361112,-1.787247181136769,-1.5561751489073437,0.7362534016115097,0.9512857053289909,0.6047175269520976,0.06127482954425549,0.16882103748218394,-0.08664401107951898,0.6952219187095205
89,Warsaw,Poland,45,-0.29980592492270314,-0.12048483455982897,1.0258727979025841,-1.1351447123002076,-0.5990337278562252,0.2239665769608253,-0.05283418659763946,0.7218847355209467,-0.22748162095059768,-0.676605202609663,-0.6632047846118252,-0.012150212848370916,0.3158710589998398,-0.017857706819343733,0.4243034236026946
43,Ljubljana,Slovenia,54,0.6853017288460259,-0.5438902334445548,1.3245493143994551,-0.08022310804455715,-0.18336725408661236,0.464175878093478,-1.154249737874313,-1.2887972281997977,-0.1371314625854001,-0.23888590971269663,-0.5974156233191992,0.04658982106573026,0.3904116085813029,-0.1568835471198375,0.15496770451402003
7,Vienna,Austria,2,1.4458627850645296,0.3725596101940948,0.6994124194060056,1.4653597074927904,0.5167025964727353,0.30975561307962984,-1.5593681015622847,-1.6203458498771546,0.2061991392023508,0.6315214198410408,0.16316022518013779,-0.36459041633297773,0.3914271474039392,-1.1954598593297987,0.5155768406493954
96,Barcelona,Spain,57,-0.40483578506716233,-0.3433297813412636,-0.780078232078492,1.1341633898776458,-0.04663486139923975,0.18965096251330366,-0.5845520389381028,0.9090492800162288,1.0434439400531819,0.4571045368476135,-0.2706684716968734,-0.1810278103514117,0.46231175722391454,-0.6006036506573019,0.6712164824342315
31,Oslo,Norway,41,0.9098483263962504,0.41712859955038195,0.44241169590869833,1.269095222980112,1.2878732912295172,-0.08487395306687068,-0.8883908117040814,-1.3101874618564013,-1.1068898290385203,1.391241112110488,0.6954580893926401,-0.6362630731856953,0.5092296508296855,-0.18497936153596553,1.463923471524798
29,Glasgow,UnitedKingdom,64,1.0076347479100587,0.609332366149369,-0.3424824055830776,1.3917605258005363,0.5659262578401897,-0.9942377359261985,-0.48327244801610975,-0.6631328937441404,0.38689945593274594,1.0407302607102353,0.30730144989052066,-0.7096881155783218,0.5750365665364818,0.3975243770053024,-0.4973998109671685
15,Austin,UnitedStates,65,1.279263696559524,1.8461218207863312,-0.07158975108591617,0.14057443703220654,0.6534349891601079,-1.3030782659538946,0.2636645350335885,-0.18720019488470901,0.22426917087539014,1.0373760898834388,1.9272338883064042,-0.4673854756826547,0.5784893985334436,-0.1752911496683351,2.032931450050039
102,Winnipeg,Canada,9,-0.5678131542568418,-0.06477359786447032,-1.3982691615720144,0.0915083159040378,0.4674789351052812,-0.8055018564648285,-0.48327244801610975,-0.5829195175318768,-3.2331302225661696,0.5158025263165555,-0.09467614557612046,-0.7684281494924229,0.5902696488760182,1.0369463602688982,-0.1547288030375021
51,Ottawa,Canada,9,0.5549198334942826,0.30849168799443244,0.6646825919063695,0.14057443703220654,0.6589042848676032,-0.5309769408846542,-0.09081403319338735,-1.1818460599167795,-2.0405081321455616,1.1396783001007373,0.5585418561243658,-0.6362630731856953,0.6225637834358346,1.0369463602688982,0.5654342852211477
35,Calgary,Canada,9,0.7903315889904862,0.6789714120185674,0.1159513174121189,0.7907005419804558,0.8011059732624705,-1.1486580009400464,-0.7744512719168395,-1.2406692024724395,-2.727169335721063,1.1396783001007373,0.8459895221563775,-0.6729755943820086,0.6759811255064752,1.0369463602688982,0.25046185760912315
